MQ 3;MQ 135;QCM
1,2173;0,9419;1
1,2173;1;2
1,1999;0,9798;1
1,2535;0,9798;2
1,2173;0,9605;0
1,1507;0,9605;1
1,1831;0,9419;1
1,2173;1,1145;0
1,1999;0,9605;1
1,2535;1;1
1,2535;0,9605;1
1,2351;0,89;1
1,1999;0,8585;0
1,2173;0,8292;0
1,1999;0,8292;1
1,1999;0,9067;1
1,2173;0,9239;0
1,2173;0,9067;2
1,2173;0,9067;1
1,1831;0,874;1
1,2173;0,9798;1
1,2351;0,89;1
1,2351;0,9239;1
1,1999;0,9239;1
1,1667;1;1
1,2724;0,9067;1
1,2173;0,9067;1
1,2351;0,9798;0
1,2919;0,9239;0
1,2173;0,9798;0
1,2173;0,9605;1
1,2351;0,874;1
1,2173;0,874;1
1,2173;0,9419;1
1,2351;1,0429;0
1,2351;1,021;0
1,2351;1,0657;0
1,2173;0,89;0
1,1999;0,874;0
1,2351;0,9067;0
1,1999;0,9067;1
1,2173;0,9067;1
1,2173;0,9798;1
1,1831;0,874;1
1,2351;0,9067;1
1,2535;0,9419;1
1,2351;0,9798;0
1,2173;1;0
1,2173;0,9605;0
1,2173;0,9067;1
1,1507;0,9419;1
1,1999;0,9067;1
1,1667;0,9419;0
1,2535;1,021;0
1,1667;0,9419;0
1,2173;0,9419;1
1,2351;1,0657;1
1,2351;1,021;1
1,2173;0,9239;0
1,2351;1;0
1,2351;1,0429;1
1,2351;0,9239;2
1,2351;0,9239;1
1,2351;0,9239;1
1,2351;0,9067;1
1,2351;1,0429;1
1,2351;1;1
1,2351;0,9239;1
1,2173;0,9067;0
1,2173;0,9067;1
1,2351;1,0429;0
1,2173;1,0657;1
1,2351;0,9798;1
1,2173;1,0657;1
1,2351;1,0657;1
1,2535;0,9605;2
1,2535;1,0429;1
1,2351;0,9798;0
1,2351;0,9419;0
1,1999;0,9239;0
1,2173;0,9419;0
1,2173;0,9605;0
1,2351;1,021;0
1,2351;1;1
1,1667;0,9419;1
1,2535;1,0429;1
1,1831;0,9419;0
1,2351;0,9239;1
1,1999;1,021;1
1,2351;0,9419;1
1,2173;0,9239;1
1,1831;0,9419;1
1,2173;1,0657;1
1,2351;1,021;1
1,2173;1,0896;1
1,2535;0,9419;1
1,2351;1,0657;0
1,2724;0,9605;0
1,2351;1;0
1,2173;0,9239;0
1,2351;0,9419;0
1,2173;0,9419;1
1,1999;1,1145;1
1,1999;0,89;1
1,1999;0,9419;1
1,2173;0,9419;1
1,2173;0,9605;0
1,2351;0,9605;0
1,2351;1,1407;1
1,2535;0,9419;1
1,2351;1,1145;0
1,2173;0,9419;0
1,1999;0,9605;1
1,2351;0,9605;1
1,2351;1,1145;0
1,1831;1,0429;0
1,1999;1,0657;1
1,1999;1;1
1,1831;0,9239;1
1,1352;0,9605;0
1,2173;0,9239;0
1,2173;1,0657;0
1,2351;0,9798;1
1,1999;0,9067;1
1,1831;0,9067;1
1,1999;0,9239;0
1,1667;0,9605;0
1,2351;0,9798;0
1,1999;0,9419;1
1,2173;1,021;1
1,1999;0,9239;1
1,1831;0,9605;1
1,1999;1,0429;0
1,1999;1;1
1,2173;1,0429;0
1,2173;1,0657;1
1,1999;0,9419;0
1,1999;1,021;1
1,1667;0,9239;0
1,1831;1,0657;1
1,2173;1,0429;0
1,1831;0,9605;1
1,2173;1,0429;1
1,2351;1,1145;1
1,2173;0,9798;1
1,1831;0,9419;1
1,2173;0,9798;0
1,1831;0,9239;0
1,1999;1,0429;1
1,2173;1,0657;1
1,2351;1,1145;1
1,1999;0,9798;1
1,2173;0,9798;0
1,1999;0,9239;0
1,1831;0,9419;0
1,1831;0,9419;1
1,2173;1,168;0
1,2173;0,9798;1
1,1667;0,9239;0
1,1831;0,9605;1
1,1667;0,9419;1
1,1667;0,9605;0
1,1831;0,9419;1
1,1999;1,1145;1
1,1667;0,9605;1
1,1352;0,9605;1
1,1053;0,9605;1
1,1667;0,9239;0
1,1667;1;0
1,1831;1,0429;1
1,1999;0,9798;1
1,1667;0,9419;1
1,1999;0,9798;1
1,1831;0,9798;0
1,1507;0,9605;0
1,1667;1,0657;0
1,1507;0,9798;1
1,1352;0,9605;1
1,1831;1,0429;1
1,1201;0,9605;1
